symbol,name,price,change,change_percentage,market_cap,trailing_p_e,revenue,volume,total_cash,total_debt,five_year_average_dividend_yield,sector,industry
0798.HK,China Electronics Optics Valley Union Holding Company Limited,0.500,+0.015,+3.09%,3.711B,6.13,N/A,2.796M,N/A,N/A,N/A,Real Estate,Real Estate Services
0029.HK,Dynamic Holdings Limited,15.600,-0.220,-1.39%,3.708B,317.07,91.92M,"258,000",96.18M,96.2M,0.95,Real Estate,Real Estate Services
0726.HK,DIT Group Limited,0.330,-0.005,-1.49%,3.699B,28.21,810.1M,1.95M,85.22M,611.11M,N/A,Real Estate,Real Estate—Development
8137.HK,Honbridge Holdings Limited,0.375,-0.025,-6.25%,3.695B,11.83,307.58M,2.054M,350.32M,408.06M,N/A,Industrials,Electrical Equipment & Parts
1426.HK,Spring Real Estate Investment Trust,2.530,-0.090,-3.44%,3.689B,15.15,N/A,"47,000",N/A,N/A,6.84,Real Estate,REIT—Office
1133.HK,Harbin Electric Company Limited,2.150,-0.060,-2.71%,3.669B,31.53,N/A,1.032M,N/A,N/A,N/A,Industrials,Specialty Industrial Machinery
1596.HK,Hebei Yichen Industrial Group Corporation Limited,4.080,+0.020,+0.49%,3.663B,16.32,N/A,"334,000",N/A,N/A,N/A,Industrials,Railroads
1881.HK,Regal Real Estate Investment Trust,1.120,-0.020,-1.75%,3.648B,N/A,919.5M,"434,000",52.59M,9.92B,7.43,Real Estate,REIT—Hotel & Motel
0108.HK,GR Properties Limited,1.140,+0.010,+0.88%,3.647B,52.05,358.13M,4.516M,278.1M,2.13B,N/A,Real Estate,Real Estate Services
0906.HK,CPMC Holdings Limited,3.270,-0.010,-0.30%,3.641B,10.50,N/A,"579,000",N/A,N/A,3.30,Consumer Cyclical,Packaging & Containers
1857.HK,China Everbright Water Limited,1.230,+0.010,+0.82%,3.552B,4.29,5.19B,"327,000",1.87B,9.88B,N/A,Industrials,Waste Management
2686.HK,AAG Energy Holdings Limited,1.060,0.000,0.00%,3.597B,4.62,N/A,"56,000",N/A,N/A,N/A,Utilities,Utilities—Regulated Gas
1785.HK,"Chengdu Expressway Co., Ltd.",2.160,0.000,0.00%,3.577B,11.59,N/A,"8,000",N/A,N/A,N/A,Industrials,Infrastructure Operations
2168.HK,Kaisa Prosperity Holdings Limited,23.000,-0.300,-1.29%,3.542B,17.30,N/A,"749,750",N/A,N/A,N/A,Real Estate,Real Estate Services
1502.HK,"Financial Street Property Co., Limited",9.470,+0.070,+0.74%,3.537B,28.54,N/A,"799,000",N/A,N/A,N/A,Real Estate,Real Estate Services
3681.HK,SinoMab BioScience Limited,3.500,-0.010,-0.28%,3.522B,N/A,N/A,"216,300",N/A,N/A,N/A,Healthcare,Biotechnology
1902.HK,"Yincheng International Holding Co., Ltd.",2.410,-0.030,-1.23%,3.487B,19.28,N/A,"414,000",N/A,N/A,N/A,Consumer Cyclical,Residential Construction
1756.HK,Huali University Group Limited,2.910,+0.010,+0.34%,3.492B,12.32,N/A,"24,000",N/A,N/A,N/A,Consumer Defensive,Education & Training Services
0563.HK,Shanghai Industrial Urban Development Group Limited,0.720,-0.050,-6.49%,3.461B,7.86,7.15B,5.357M,7.78B,18.62B,1.12,Real Estate,Real Estate—Development
0445.HK,CIMC-TianDa Holdings Company Limited,0.213,-0.006,-2.74%,3.454B,15.88,N/A,7.165M,N/A,N/A,N/A,Industrials,Specialty Industrial Machinery
1697.HK,"Shandong International Trust Co., Ltd.",0.730,-0.010,-1.35%,3.401B,3.62,N/A,"50,400",N/A,N/A,N/A,Financial Services,Asset Management
0808.HK,Prosperity Real Estate Investment Trust,2.270,-0.010,-0.44%,3.447B,10.77,460.85M,1.02M,362.65M,2.36B,5.89,Real Estate,REIT—Diversified
0680.HK,Nan Hai Corporation Limited,0.050,0.000,0.00%,3.432B,N/A,9.81B,10.1M,6.67B,25.74B,N/A,Communication Services,Entertainment
1198.HK,Royale Furniture Holdings Limited,1.320,+0.010,+0.76%,3.43B,51.15,687.77M,"134,000",183.2M,375.99M,N/A,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
0662.HK,Asia Financial Holdings Limited,3.600,-0.050,-1.37%,3.417B,25.90,1.19B,"122,000",4.26B,4.22M,1.95,Financial Services,Insurance—Life
0612.HK,China Ding Yi Feng Holdings Limited,2.600,-0.140,-5.11%,3.388B,N/A,-29.34M,2.144M,388.19M,270.38M,N/A,Financial Services,Asset Management
1122.HK,"Qingling Motors Co., Ltd.",1.350,-0.020,-1.46%,3.351B,13.20,N/A,1.694M,N/A,N/A,8.69,Industrials,Farm & Heavy Construction Machinery
2322.HK,Hong Kong ChaoShang Group Limited,0.910,-0.010,-1.09%,3.75B,N/A,238.52M,3.984M,200.53M,33.87M,N/A,Industrials,Conglomerates
0517.HK,"COSCO SHIPPING International (Hong Kong) Co., Ltd.",2.180,+0.010,+0.46%,3.342B,10.70,3.12B,"202,000",6.19B,88.81M,N/A,Industrials,Marine Shipping
8279.HK,AGTech Holdings Limited,0.285,-0.015,-5.00%,3.327B,N/A,171.24M,"828,000",1.75B,11.33M,N/A,Technology,Software—Application
0098.HK,Xingfa Aluminium Holdings Limited,7.900,-0.020,-0.25%,3.302B,4.70,N/A,"185,000",N/A,N/A,N/A,Basic Materials,Aluminum
1576.HK,Qilu Expressway Company Limited,1.620,-0.030,-1.82%,3.24B,6.60,N/A,"14,000",N/A,N/A,N/A,Industrials,Infrastructure Operations
0245.HK,China Vered Financial Holding Corporation Limited,0.095,0.000,0.00%,3.298B,N/A,55.98M,"133,400",798.91M,98.35M,N/A,Financial Services,Asset Management
2608.HK,Sunshine 100 China Holdings Ltd,1.280,-0.020,-1.54%,3.267B,2.27,N/A,"9,000",N/A,N/A,N/A,Real Estate,Real Estate—Development
1735.HK,Central Holding Group Co. Ltd.,3.090,-0.210,-6.36%,3.263B,N/A,170.91M,"202,000",66.05M,508k,N/A,Industrials,Engineering & Construction
0863.HK,BC Technology Group Limited,9.600,-0.360,-3.61%,3.21B,N/A,N/A,"187,500",N/A,N/A,N/A,Communication Services,Advertising Agencies
6919.HK,Renrui Human Resources Technology Holdings Limited,20.700,+0.400,+1.97%,3.181B,N/A,N/A,"372,900",N/A,N/A,N/A,Industrials,Staffing & Employment Services
2303.HK,Hengxing Gold Holding Company Limited,3.430,+0.250,+7.86%,3.173B,14.37,N/A,"160,000",N/A,N/A,N/A,Basic Materials,Gold
1652.HK,Fusen Pharmaceutical Company Limited,4.090,-0.010,-0.24%,3.166B,44.99,N/A,"329,500",N/A,N/A,N/A,Healthcare,Drug Manufacturers—Specialty & Generic
3382.HK,Tianjin Port Development Holdings Limited,0.510,0.000,0.00%,3.141B,9.27,14.31B,"578,000",7.56B,12.66B,4.11,Industrials,Marine Shipping
0831.HK,Convenience Retail Asia Limited,4.100,+0.020,+0.49%,3.127B,15.10,5.79B,1.512M,412.99M,642.43M,5.53,Consumer Cyclical,Department Stores
0860.HK,Apollo Future Mobility Group Limited,0.435,-0.025,-5.43%,3.119B,N/A,512.14M,28.56M,125.3M,148.85M,N/A,Consumer Cyclical,Auto Manufacturers
0511.HK,Television Broadcasts Limited,7.110,+0.160,+2.30%,3.114B,N/A,2.91B,"297,300",1.26B,1.87B,6.65,Communication Services,Broadcasting
1931.HK,IVD Medical Holding Limited,2.340,-0.090,-3.70%,3.107B,9.59,N/A,1.618M,N/A,N/A,N/A,Healthcare,Medical Distribution
1107.HK,"Modern Land (China) Co., Limited",1.110,-0.010,-0.89%,3.102B,4.09,N/A,"478,000",N/A,N/A,N/A,Real Estate,Real Estate—Development
2236.HK,Wison Engineering Services Co. Ltd.,0.760,-0.020,-2.56%,3.096B,53.94,N/A,"552,000",N/A,N/A,N/A,Industrials,Engineering & Construction
1057.HK,Zhejiang Shibao Company Limited,0.850,-0.020,-2.30%,3.065B,N/A,N/A,"325,000",N/A,N/A,N/A,Consumer Cyclical,Auto Parts
1293.HK,Grand Baoxin Auto Group Limited,1.080,-0.040,-3.57%,3.065B,4.32,N/A,"857,043",N/A,N/A,N/A,Consumer Cyclical,Auto & Truck Dealerships
0191.HK,Lai Sun Garment (International) Limited,7.800,0.000,0.00%,3.062B,0.67,5.8B,"2,000",3.16B,22.86B,0.75,Real Estate,Real Estate—Development
1899.HK,Xingda International Holdings Limited,1.900,0.000,0.00%,3.053B,11.07,N/A,1.637M,N/A,N/A,6.16,Consumer Cyclical,Auto Parts
0910.HK,China Sandi Holdings Limited,0.600,0.000,0.00%,3.052B,5.94,N/A,"67,000",N/A,N/A,N/A,Real Estate,Real Estate—Diversified
0439.HK,KuangChi Science Limited,0.495,-0.005,-1.00%,3.048B,N/A,86.95M,6.102M,368.22M,497.34M,N/A,Industrials,Aerospace & Defense
1665.HK,Pentamaster International Limited,1.900,0.000,0.00%,3.04B,13.24,N/A,"832,000",N/A,N/A,N/A,Industrials,Specialty Industrial Machinery
2100.HK,BAIOO Family Interactive Limited,1.110,0.000,0.00%,3.037B,17.26,N/A,2.75M,N/A,N/A,N/A,Communication Services,Electronic Gaming & Multimedia
0258.HK,Tomson Group Limited,1.540,-0.020,-1.28%,3.035B,17.93,751.2M,"70,000",3.37B,1.03B,10.17,Real Estate,Real Estate—Diversified
1270.HK,Langham Hospitality Investments Limited,0.940,-0.010,-1.05%,3.032B,N/A,293.24M,"406,500",63.47M,7.27B,8.35,Consumer Cyclical,Lodging
2118.HK,Tian Shan Development (Holding) Limited,3.010,+0.020,+0.67%,3.027B,N/A,N/A,"452,000",N/A,N/A,1.46,Real Estate,Real Estate—Development
8053.HK,Pizu Group Holdings Limited,0.850,-0.010,-1.16%,3.025B,10.69,N/A,3M,N/A,N/A,N/A,Basic Materials,Specialty Chemicals
1672.HK,Ascletis Pharma Inc.,2.730,-0.040,-1.44%,3.02B,N/A,N/A,"607,000",N/A,N/A,N/A,Healthcare,Biotechnology
0580.HK,Sun.King Power Electronics Group Limited,1.850,+0.010,+0.54%,3.017B,15.10,N/A,"588,000",N/A,N/A,N/A,Industrials,Electrical Equipment & Parts
2393.HK,Yestar Healthcare Holdings Company Limited,1.270,-0.020,-1.55%,2.993B,12.56,N/A,"607,500",N/A,N/A,N/A,Healthcare,Medical Devices
0230.HK,Minmetals Land Limited,0.890,-0.010,-1.11%,2.979B,16.27,8.33B,"542,000",3.56B,19.23B,N/A,Real Estate,Real Estate—Development
0951.HK,Chaowei Power Holdings Limited,2.670,-0.180,-6.32%,2.948B,4.61,N/A,1.678M,N/A,N/A,N/A,Consumer Cyclical,Auto Parts
0950.HK,Lee's Pharmaceutical Holdings Limited,5.010,-0.060,-1.18%,2.947B,16.04,1.17B,"292,000",632.28M,206.36M,1.66,Healthcare,Drug Manufacturers—Specialty & Generic
1760.HK,Intron Technology Holdings Limited,2.840,+0.090,+3.27%,2.942B,21.90,N/A,"305,000",N/A,N/A,N/A,Consumer Cyclical,Auto Parts
0411.HK,Lam Soon (Hong Kong) Limited,12.040,-0.120,-0.99%,2.93B,8.79,5.12B,"23,000",1.53B,4.35M,3.04,Consumer Defensive,Packaged Foods
0208.HK,Polytec Asset Holdings Limited,0.660,0.000,0.00%,2.93B,4.14,977.67M,1.125M,423.79M,2.45B,3.81,Real Estate,Real Estate—Development
0088.HK,Tai Cheung Holdings Limited,4.690,-0.060,-1.26%,2.896B,23.45,43M,"55,000",3.64B,287.9M,4.71,Real Estate,Real Estate—Development
0182.HK,Concord New Energy Group Limited,0.345,-0.005,-1.43%,2.887B,4.58,N/A,4.32M,N/A,N/A,3.69,Utilities,Utilities—Renewable
2355.HK,Baoye Group Company Limited,5.100,-0.200,-3.77%,2.87B,2.95,N/A,"320,000",N/A,N/A,N/A,Industrials,Engineering & Construction
2309.HK,Birmingham Sports Holdings Limited,0.162,-0.010,-5.81%,2.869B,N/A,228.01M,8.32M,137.45M,417.32M,N/A,Consumer Cyclical,Leisure
1277.HK,Kinetic Mines and Energy Limited,0.340,0.000,0.00%,2.866B,3.14,N/A,"10,000",N/A,N/A,N/A,Energy,Thermal Coal
1431.HK,YuanShengTai Dairy Farm Limited,0.610,0.000,0.00%,2.861B,8.06,N/A,16.678M,N/A,N/A,N/A,Consumer Defensive,Farm Products
0610.HK,Wai Kee Holdings Limited,3.600,-0.130,-3.49%,2.855B,2.25,8.06B,"230,000",2.24B,1.14B,6.25,Industrials,Engineering & Construction
3321.HK,Wai Hung Group Holdings Limited,5.700,-0.080,-1.38%,2.85B,499.68,N/A,"417,500",N/A,N/A,N/A,Industrials,Engineering & Construction
2183.HK,Sansheng Holdings (Group) Co. Ltd.,6.460,-0.020,-0.31%,2.85B,36.21,N/A,"4,000",N/A,N/A,N/A,Real Estate,Real Estate—Development
1609.HK,Chong Kin Group Holdings Limited,2.900,+0.100,+3.57%,2.937B,N/A,518.63M,"6,000",71.24M,179.39M,N/A,Industrials,Engineering & Construction
1428.HK,Bright Smart Securities & Commodities Group Limited,1.670,-0.010,-0.60%,2.834B,6.02,963.27M,2.292M,526.2M,3.18B,3.78,Financial Services,Capital Markets
0807.HK,SIIC Environment Holdings Ltd.,1.080,+0.010,+0.93%,2.761B,4.20,N/A,"381,000",N/A,N/A,N/A,Industrials,Pollution & Treatment Controls
0106.HK,"Landsea Green Properties Co., Ltd.",0.650,0.000,0.00%,3.07B,2.52,N/A,1.664M,N/A,N/A,5.12,Real Estate,Real Estate—Development
0732.HK,Truly International Holdings Limited,0.860,-0.010,-1.15%,2.829B,5.03,22.62B,2.33M,659.72M,6.11B,N/A,Technology,Consumer Electronics
1862.HK,Jingrui Holdings Limited,2.010,-0.010,-0.50%,2.814B,2.68,N/A,1.307M,N/A,N/A,N/A,Real Estate,Real Estate—Development
1525.HK,Shanghai Gench Education Group Limited,6.780,-0.010,-0.15%,2.814B,16.66,N/A,"153,000",N/A,N/A,N/A,Consumer Defensive,Education & Training Services
1599.HK,"Beijing Urban Construction Design & Development Group Co., Limited",2.080,+0.030,+1.46%,2.805B,3.52,N/A,"910,000",N/A,N/A,N/A,Industrials,Engineering & Construction
0025.HK,Chevalier International Holdings Limited,9.280,-0.050,-0.54%,2.802B,5.26,6.38B,"6,000",3.12B,3.6B,4.77,Industrials,Conglomerates
3978.HK,China Beststudy Education Group,3.270,-0.030,-0.91%,2.779B,20.41,N/A,"597,000",N/A,N/A,N/A,Consumer Defensive,Education & Training Services
2180.HK,ManpowerGroup Greater China Limited,13.380,+0.280,+2.14%,2.776B,18.90,N/A,"6,500",N/A,N/A,N/A,Industrials,Staffing & Employment Services
1806.HK,Huifu Payment Limited,2.140,-0.160,-6.96%,2.775B,15.33,N/A,1.827M,N/A,N/A,N/A,Technology,Software—Infrastructure
3329.HK,BOCOM International Holdings Company Limited,1.000,0.000,0.00%,2.734B,5.26,1.35B,"424,000",10.78B,13.2B,N/A,Financial Services,Financial Conglomerates
1681.HK,Consun Pharmaceutical Group Limited,3.290,-0.010,-0.30%,2.727B,53.81,N/A,"854,000",N/A,N/A,3.24,Healthcare,Drug Manufacturers—Specialty & Generic
0698.HK,Tongda Group Holdings Limited,0.420,-0.005,-1.18%,2.721B,23.60,9.27B,9.64M,868.7M,4.07B,3.16,Technology,Electronic Components
1415.HK,Cowell e Holdings Inc.,3.270,+0.120,+3.81%,2.719B,6.20,656.65M,14.215M,148.67M,14.44M,N/A,Technology,Electronic Components
0607.HK,Fullshare Holdings Limited,0.137,-0.006,-4.20%,2.7B,N/A,N/A,72.345M,N/A,N/A,N/A,Industrials,Specialty Industrial Machinery
0186.HK,Nimble Holdings Company Limited,0.490,-0.005,-1.01%,2.691B,N/A,240M,"100,000",448M,218M,N/A,Technology,Electronics & Computer Distribution
1221.HK,Sino Hotels (Holdings) Limited,2.350,+0.040,+1.73%,2.685B,N/A,160.74M,"6,000",966.82M,5.33M,2.91,Consumer Cyclical,Lodging
0908.HK,Zhuhai Holdings Investment Group Limited,1.880,+0.030,+1.62%,2.684B,28.97,N/A,"164,000",N/A,N/A,N/A,Industrials,Marine Shipping
1492.HK,China ZhongDi Dairy Holdings Company Limited,1.020,+0.060,+6.25%,2.659B,18.70,N/A,4.916M,N/A,N/A,N/A,Consumer Defensive,Farm Products
0332.HK,Yuan Heng Gas Holdings Limited,0.405,+0.005,+1.25%,2.651B,N/A,N/A,1.152M,N/A,N/A,N/A,Energy,Oil & Gas Refining & Marketing
1588.HK,Chanjet Information Technology Company Limited,12.200,-0.400,-3.17%,2.65B,130.93,N/A,"90,400",N/A,N/A,N/A,Technology,Software—Application
1866.HK,China XLX Fertiliser Ltd.,2.260,-0.170,-7.00%,2.648B,7.36,N/A,"766,000",N/A,N/A,3.58,Basic Materials,Agricultural Inputs
1223.HK,Symphony Holdings Limited,0.890,0.000,0.00%,2.647B,36.93,316.9M,1.59M,452.75M,1.82B,N/A,Consumer Cyclical,Apparel Retail
0620.HK,DTXS Silk Road Investment Holdings Company Limited,3.950,-0.070,-1.74%,2.637B,4.94k,294.37M,"68,000",56.37M,711.92M,N/A,Consumer Cyclical,Internet Retail
1061.HK,Essex Bio-Technology Limited,4.550,-0.010,-0.22%,2.63B,12.08,1.02B,"328,000",392.35M,361.36M,0.93,Healthcare,Biotechnology
3336.HK,Ju Teng International Holdings Limited,2.250,+0.020,+0.90%,2.624B,4.84,9.15B,1.004M,787.1M,4.02B,4.75,Technology,Computer Hardware
1753.HK,Duiba Group Limited,2.430,-0.230,-8.65%,2.618B,9.26,N/A,5.441M,N/A,N/A,N/A,Communication Services,Advertising Agencies
0078.HK,Regal Hotels International Holdings Limited,2.910,-0.020,-0.68%,2.616B,7.66,1.41B,1.318M,2.86B,15.8B,3.51,Consumer Cyclical,Lodging
1323.HK,Huasheng International Holding Limited,0.790,-0.020,-2.47%,2.609B,N/A,213.46M,36.828M,18.24M,340.05M,N/A,Consumer Defensive,Household & Personal Products
0038.HK,First Tractor Company Limited,2.620,0.000,0.00%,2.583B,6.20,N/A,1.378M,N/A,N/A,N/A,Industrials,Farm & Heavy Construction Machinery
0801.HK,Golden Meditech Holdings Limited,0.870,0.000,0.00%,2.538B,N/A,307.14M,6.762M,171.7M,909.25M,N/A,Healthcare,Medical Instruments & Supplies
1140.HK,OP Financial Limited,0.870,0.000,0.00%,2.524B,N/A,181.99M,"312,000",1.9B,586.47M,N/A,Financial Services,Asset Management
1830.HK,Perfect Shape Medical Limited,2.250,+0.010,+0.45%,2.521B,7.01,1.24B,"818,000",691.88M,252M,10.22,Consumer Cyclical,Personal Services
1230.HK,Yashili International Holdings Ltd,0.530,0.000,0.00%,2.515B,19.43,N/A,"177,000",N/A,N/A,N/A,Consumer Defensive,Packaged Foods
1739.HK,Qeeka Home (Cayman) Inc.,2.140,0.000,0.00%,2.514B,94.16,N/A,"9,500",N/A,N/A,N/A,Communication Services,Internet Content & Information
1503.HK,China Merchants Commercial Real Estate Investment Trust,2.220,-0.060,-2.63%,2.504B,78.59,N/A,"792,000",N/A,N/A,N/A,Real Estate,REIT—Diversified
1427.HK,China Tianbao Group Development Company Limited,3.070,-0.070,-2.23%,2.485B,5.61,N/A,1.039M,N/A,N/A,N/A,Real Estate,Real Estate—Diversified
6819.HK,IntelliCentrics Global Holdings Ltd.,5.430,+0.040,+0.74%,2.482B,N/A,36.08M,"346,500",59.75M,26.98M,N/A,Healthcare,Health Information Services
0438.HK,IRICO Group New Energy Company Limited,0.700,0.000,0.00%,2.469B,15.36,N/A,"370,000",N/A,N/A,N/A,Technology,Solar
0474.HK,Hao Tian Development Group Limited,0.380,0.000,0.00%,2.467B,N/A,-158.46M,38.412M,581.02M,2.37B,N/A,Industrials,Conglomerates
1859.HK,China Bright Culture Group,1.530,-0.160,-9.47%,2.448B,14.57,N/A,16.358M,N/A,N/A,N/A,Communication Services,Entertainment
1272.HK,"Datang Environment Industry Group Co., Ltd.",0.820,0.000,0.00%,2.433B,12.03,N/A,"2,000",N/A,N/A,N/A,Industrials,Waste Management
3788.HK,China Hanking Holdings Limited,1.330,+0.050,+3.91%,2.421B,5.97,N/A,2.647M,N/A,N/A,N/A,Basic Materials,Other Industrial Metals & Mining
0818.HK,Hi Sun Technology (China) Limited,0.870,+0.010,+1.16%,2.416B,6.69,4.59B,"459,000",4.45B,60.57M,N/A,Technology,Software—Infrastructure
2060.HK,Pujiang International Group Limited,2.960,+0.010,+0.34%,2.401B,18.93,N/A,1.611M,N/A,N/A,N/A,Industrials,Metal Fabrication
1566.HK,CA Cultural Technology Group Limited,2.490,0.000,0.00%,2.401B,22.64,391.81M,5.301M,53.54M,693.16M,N/A,Communication Services,Entertainment
1651.HK,Precision Tsugami (China) Corporation Limited,6.300,0.000,0.00%,2.399B,13.52,N/A,"12,000",N/A,N/A,N/A,Industrials,Tools & Accessories
0194.HK,Liu Chong Hing Investment Limited,6.270,-0.030,-0.48%,2.374B,15.68,844.63M,"54,000",1.97B,1.57B,5.14,Real Estate,Real Estate—Development
3700.HK,Inke Limited,1.210,+0.020,+1.68%,2.372B,35.49,N/A,2.664M,N/A,N/A,N/A,Communication Services,Internet Content & Information
1358.HK,PW Medtech Group Limited,1.510,+0.010,+0.67%,2.37B,12.79,N/A,"450,000",N/A,N/A,N/A,Healthcare,Medical Instruments & Supplies
0746.HK,Lee & Man Chemical Company Limited,2.870,+0.020,+0.70%,2.368B,5.20,3.14B,"10,000",200.22M,1.58B,6.19,Basic Materials,Chemicals
1249.HK,Tonly Electronics Holdings Limited,8.650,+0.160,+1.88%,2.362B,9.53,7.77B,"676,000",471.06M,221.32M,5.04,Technology,Consumer Electronics
0007.HK,Hong Kong Finance Investment Holding Group Limited,0.590,+0.030,+5.36%,2.36B,3.60,606.12M,"518,000",121.2M,485.03M,N/A,Technology,Electronics & Computer Distribution
1875.HK,TOT BIOPHARM International Company Limited,4.120,+0.040,+0.98%,2.348B,N/A,N/A,"60,000",N/A,N/A,N/A,Healthcare,Biotechnology
0052.HK,Fairwood Holdings Limited,17.860,-0.420,-2.30%,2.313B,38.03,3.03B,"197,500",514.19M,1.46B,4.01,Consumer Cyclical,Restaurants
0568.HK,Shandong Molong Petroleum Machinery Company Limited,0.690,0.000,0.00%,2.294B,N/A,N/A,"19,600",N/A,N/A,N/A,Energy,Oil & Gas Equipment & Services
1006.HK,Changshouhua Food Company Limited,4.000,0.000,0.00%,2.294B,6.30,N/A,"881,000",N/A,N/A,N/A,Consumer Defensive,Packaged Foods
3738.HK,Vobile Group Limited,5.330,-0.050,-0.93%,2.292B,N/A,32.28M,2.392M,6.76M,52.26M,N/A,Technology,Software—Application
1250.HK,Beijing Enterprises Clean Energy Group Limited,0.036,-0.001,-2.70%,2.287B,3.75,5.22B,33.12M,2.8B,28.16B,N/A,Utilities,Utilities—Independent Power Producers
1971.HK,Redsun Services Group Limited,5.480,-0.240,-4.20%,2.274B,32.33,N/A,"893,000",N/A,N/A,N/A,Real Estate,Real Estate Services
1366.HK,Jiangnan Group Limited,0.370,-0.005,-1.33%,2.264B,5.36,N/A,3.362M,N/A,N/A,N/A,Industrials,Electrical Equipment & Parts
2199.HK,Regina Miracle International (Holdings) Limited,1.810,-0.070,-3.72%,2.216B,7.64,6.34B,"315,000",587.62M,3.75B,N/A,Consumer Cyclical,Apparel Manufacturing
1370.HK,Aowei Holding Limited,1.350,-0.010,-0.74%,2.208B,N/A,N/A,"26,000",N/A,N/A,N/A,Basic Materials,Other Industrial Metals & Mining
2633.HK,Jacobson Pharma Corporation Limited,1.140,-0.025,-2.15%,2.205B,10.55,1.57B,"334,000",496.03M,1.65B,N/A,Healthcare,Drug Manufacturers—Specialty & Generic
3318.HK,China Boton Group Company Limited,2.040,0.000,0.00%,2.204B,16.32,N/A,"16,000",N/A,N/A,N/A,Basic Materials,Specialty Chemicals
8295.HK,ZZ Capital International Limited,0.630,-0.010,-1.56%,2.237B,2.07k,84.5M,1.58M,477.64M,6.94M,N/A,Financial Services,Capital Markets
0383.HK,China Medical & HealthCare Group Limited,0.152,-0.001,-0.65%,2.201B,63.33,1.1B,"300,000",545.47M,819.04M,N/A,Healthcare,Medical Care Facilities
0335.HK,Upbest Group Limited,0.820,0.000,0.00%,2.2B,45.56,134.59M,"40,000",480.21M,283.66M,1.79,Financial Services,Capital Markets
1533.HK,"Lanzhou Zhuangyuan Pasture Co., Ltd.",6.000,+0.150,+2.56%,2.145B,44.00,N/A,"1,500",N/A,N/A,N/A,Consumer Defensive,Farm Products
6123.HK,YTO Express (International) Holdings Limited,5.230,0.000,0.00%,2.18B,82.75,4.3B,4.952M,374.22M,189.22M,N/A,Industrials,Integrated Freight & Logistics
1090.HK,Da Ming International Holdings Limited,1.750,0.000,0.00%,2.179B,10.27,N/A,"48,000",N/A,N/A,N/A,Basic Materials,Steel
2283.HK,TK Group (Holdings) Limited,2.610,-0.020,-0.76%,2.175B,9.56,2.04B,"252,000",678.45M,431.55M,4.50,Basic Materials,Specialty Chemicals
0596.HK,Inspur International Limited,1.900,-0.010,-0.52%,2.164B,54.13,2.67B,"204,000",580.03M,7.36M,N/A,Technology,Software—Application
0678.HK,Genting Hong Kong Limited,0.255,-0.010,-3.77%,2.163B,N/A,1.06B,5.81M,397.52M,3.3B,N/A,Consumer Cyclical,Leisure
1205.HK,CITIC Resources Holdings Limited,0.275,+0.010,+3.77%,2.161B,3.93,2.83B,"622,000",1.15B,4.9B,N/A,Basic Materials,Other Industrial Metals & Mining
1761.HK,BabyTree Group,1.300,-0.090,-6.47%,2.161B,N/A,N/A,"427,500",N/A,N/A,N/A,Communication Services,Internet Content & Information
6858.HK,Honma Golf Limited,3.550,-0.060,-1.66%,2.15B,N/A,N/A,"241,500",N/A,N/A,N/A,Consumer Cyclical,Leisure
0286.HK,Aidigong Maternal & Child Health Limited,0.560,-0.020,-3.45%,2.145B,160.00,704.11M,8.586M,519.01M,1.07B,N/A,Healthcare,Medical Care Facilities
8516.HK,Grand Talents Group Holdings Limited,4.490,+0.240,+5.65%,2.155B,N/A,73.43M,"191,000",11.53M,35.3M,N/A,Industrials,Engineering & Construction
0709.HK,Giordano International Limited,1.350,-0.010,-0.74%,2.13B,8.36,3.72B,"806,000",1.16B,1.04B,8.88,Consumer Cyclical,Apparel Retail
0497.HK,CSI Properties Limited,0.221,-0.006,-2.64%,2.125B,1.88,3.71B,2.72M,4.55B,11.98B,N/A,Real Estate,Real Estate—Diversified
2337.HK,United Strength Power Holdings Limited,5.650,+0.020,+0.36%,2.116B,62.15,N/A,"387,850",N/A,N/A,N/A,Energy,Oil & Gas Refining & Marketing
1990.HK,Xinghua Port Holdings Ltd.,2.580,0.000,0.00%,2.101B,23.41,N/A,"21,300",N/A,N/A,N/A,Industrials,Infrastructure Operations
0190.HK,HKC (Holdings) Limited,4.110,-0.210,-4.86%,2.101B,11.68,1.12B,"79,122",1.36B,3.35B,N/A,Real Estate,Real Estate—Development
1593.HK,Chen Lin Education Group Holdings Limited,2.100,-0.010,-0.47%,2.1B,28.09,N/A,3.014M,N/A,N/A,N/A,Consumer Defensive,Education & Training Services
0050.HK,Hong Kong Ferry (Holdings) Company Limited,5.890,-0.100,-1.67%,2.098B,31.00,233.57M,"21,000",889.62M,4.57M,4.51,Real Estate,Real Estate—Diversified
0451.HK,GCL New Energy Holdings Limited,0.110,-0.007,-5.98%,2.098B,8.72,N/A,28.386M,N/A,N/A,N/A,Utilities,Utilities—Renewable
0171.HK,Silver Grant International Holdings Group Limited,0.910,-0.030,-3.19%,2.097B,N/A,101.43M,2.556M,890.98M,2.27B,N/A,Real Estate,Real Estate Services
0379.HK,"China Ever Grand Financial Leasing Group Co., Ltd.",0.175,+0.003,+1.74%,295.278M,N/A,57.02M,"610,000",151.18M,554.52M,N/A,Financial Services,Credit Services
2198.HK,China Sanjiang Fine Chemicals Company Limited,1.750,+0.030,+1.74%,2.082B,2.05,N/A,1.312M,N/A,N/A,N/A,Basic Materials,Specialty Chemicals
